,Returns,Volatility,Cumulative_Return,Sharpe Ratio,2020_2021,2021_2022,2020_2022,Class
AAP,0.060492402526831,2.343571142362744,23.11169914127509,8.81974469118795,16.151950029425844,4.584109992729135,23.11169914127509,1
AAPL,0.13859336557193505,2.3315075504390017,103.52125564533124,43.353604249018595,64.32696608696318,22.99551667806132,103.52125564533124,1
ABT,0.06063497998888723,1.9373399219016958,30.64026967670339,14.555148199818195,40.563275453788904,-6.356189004668067,30.64026967670339,1
AMAT,0.12361095946089924,3.277319325956691,55.68346060029874,16.245429665220946,118.10175108456198,-32.61364561524037,55.68346060029874,1
AMD,0.13939582098521822,3.492412343584976,65.19348906518164,17.9679496266947,59.87780537584872,0.02466922353476786,65.19348906518164,1
AMGN,0.0334188277857989,1.8110614823714002,11.563616490236917,5.036613377858984,7.283803133418254,3.8390009323635566,11.563616490236917,1
AMT,0.048524008615343936,2.1084203279364804,18.28308459247574,7.513247895868787,6.603164533867001,10.494248233657189,18.28308459247574,1
AMZN,0.05585316101356989,2.3526250263034076,19.65164158144539,7.315080554288866,63.01705357704177,-28.15564640351653,19.65164158144539,1
AVB,0.02768624765550147,2.2577082402748547,1.2884679302373803,-0.5109305308741701,-6.424582662669664,6.858435895180559,1.2884679302373803,0
BIIB,0.00855539992867312,3.4869587146910104,-26.247280550146137,-8.227593985920874,-4.924548231133741,-22.137705442894685,-26.247280550146137,-1
BMY,0.05090742680478422,1.4775673097128057,29.06241637154825,18.01638151883751,3.637486215948571,24.92832802603644,29.06241637154825,1
CBRE,0.07849151710535972,2.87342425563593,26.805464646945353,8.478895728383614,28.67599414343447,-2.610873063844643,26.805464646945353,1
CI,0.08111820784275757,2.4987276047806883,37.42783613991818,14.001460612586005,18.482952406890043,15.946370048934288,37.42783613991818,1
CLX,0.023933886239307305,1.9123966950209448,3.5440690288338184,0.5762763717920713,29.902157857770707,-20.270053970860623,3.5440690288338184,0
